Arrays lengths: [20, 40, 80, 160, 320, 640, 1280, 2560, 5120, 10240, 20480]
(20, '10_percent', 'shell_sort_a102549', 17)
(20, '10_percent', 'shell_sort_a033622', 17)
(20, '10_percent', 'insertion_sort', 17)
(20, '10_percent', 'insertion_sort_binary', 75)
(20, 'shuffled', 'shell_sort_a102549', 31)
(20, 'shuffled', 'shell_sort_a033622', 59)
(20, 'shuffled', 'insertion_sort', 91)
(20, 'shuffled', 'insertion_sort_binary', 81)
(20, '5_shuffled', 'shell_sort_a102549', 16)
(20, '5_shuffled', 'shell_sort_a033622', 20)
(20, '5_shuffled', 'insertion_sort', 20)
(20, '5_shuffled', 'insertion_sort_binary', 76)
(40, '10_percent', 'shell_sort_a102549', 18)
(40, '10_percent', 'shell_sort_a033622', 18)
(40, '10_percent', 'insertion_sort', 18)
(40, '10_percent', 'insertion_sort_binary', 184)
(40, 'shuffled', 'shell_sort_a102549', 102)
(40, 'shuffled', 'shell_sort_a033622', 138)
(40, 'shuffled', 'insertion_sort', 424)
(40, 'shuffled', 'insertion_sort_binary', 203)
(40, '5_shuffled', 'shell_sort_a102549', 5)
(40, '5_shuffled', 'shell_sort_a033622', 11)
(40, '5_shuffled', 'insertion_sort', 11)
(40, '5_shuffled', 'insertion_sort_binary', 184)
(80, '10_percent', 'shell_sort_a102549', 130)
(80, '10_percent', 'shell_sort_a033622', 158)
(80, '10_percent', 'insertion_sort', 263)
(80, '10_percent', 'insertion_sort_binary', 467)
(80, 'shuffled', 'shell_sort_a102549', 267)
(80, 'shuffled', 'shell_sort_a033622', 354)
(80, 'shuffled', 'insertion_sort', 1739)
(80, 'shuffled', 'insertion_sort_binary', 476)
(80, '5_shuffled', 'shell_sort_a102549', 55)
(80, '5_shuffled', 'shell_sort_a033622', 54)
(80, '5_shuffled', 'insertion_sort', 55)
(80, '5_shuffled', 'insertion_sort_binary', 448)
(160, '10_percent', 'shell_sort_a102549', 292)
(160, '10_percent', 'shell_sort_a033622', 375)
(160, '10_percent', 'insertion_sort', 786)
(160, '10_percent', 'insertion_sort_binary', 1096)
(160, 'shuffled', 'shell_sort_a102549', 691)
(160, 'shuffled', 'shell_sort_a033622', 894)
(160, 'shuffled', 'insertion_sort', 6941)
(160, 'shuffled', 'insertion_sort_binary', 1112)
(160, '5_shuffled', 'shell_sort_a102549', 167)
(160, '5_shuffled', 'shell_sort_a033622', 131)
(160, '5_shuffled', 'insertion_sort', 278)
(160, '5_shuffled', 'insertion_sort_binary', 1064)
(320, '10_percent', 'shell_sort_a102549', 824)
(320, '10_percent', 'shell_sort_a033622', 1111)
(320, '10_percent', 'insertion_sort', 3568)
(320, '10_percent', 'insertion_sort_binary', 2495)
(320, 'shuffled', 'shell_sort_a102549', 1679)
(320, 'shuffled', 'shell_sort_a033622', 1965)
(320, 'shuffled', 'insertion_sort', 24739)
(320, 'shuffled', 'insertion_sort_binary', 2535)
(320, '5_shuffled', 'shell_sort_a102549', 446)
(320, '5_shuffled', 'shell_sort_a033622', 494)
(320, '5_shuffled', 'insertion_sort', 600)
(320, '5_shuffled', 'insertion_sort_binary', 2504)
(640, '10_percent', 'shell_sort_a102549', 2147)
(640, '10_percent', 'shell_sort_a033622', 2629)
(640, '10_percent', 'insertion_sort', 12292)
(640, '10_percent', 'insertion_sort_binary', 5682)
(640, 'shuffled', 'shell_sort_a102549', 3783)
(640, 'shuffled', 'shell_sort_a033622', 4459)
(640, 'shuffled', 'insertion_sort', 105619)
(640, 'shuffled', 'insertion_sort_binary', 5721)
(640, '5_shuffled', 'shell_sort_a102549', 633)
(640, '5_shuffled', 'shell_sort_a033622', 636)
(640, '5_shuffled', 'insertion_sort', 1050)
(640, '5_shuffled', 'insertion_sort_binary', 5559)
(1280, '10_percent', 'shell_sort_a102549', 5754)
(1280, '10_percent', 'shell_sort_a033622', 6982)
